"","x"
"321","Ephb1"
"322","Ephb2"
"323","Ephb3"
"324","Ephb4"
"325","Ephb6"
"326","Epo"
"327","Epor"
"328","Erbb2"
"329","Erbb3"
"330","Erbb4"
"331","Esr1"
"332","Esr2"
"333","Esrrb"
"334","Esrrg"
"335","Etv1"
"336","Etv6"
"337","F2r"
"338","F2rl1"
"339","F2rl2"
"340","F2rl3"
"341","Fap"
"342","Fas"
"343","Fasl"
"344","Fat1"
"345","Fat2"
"346","Fat3"
"347","Fat4"
"348","Fbn1"
"349","Fcgr1"
"350","Fcna"
"351","Fev"
"352","Ffar1"
"353","Ffar2"
"354","Ffar3"
"355","Ffar4"
"356","Fgf1"
"357","Fgf10"
"358","Fgf11"
"359","Fgf12"
"360","Fgf13"
"361","Fgf14"
"362","Fgf15"
"363","Fgf16"
"364","Fgf17"
"365","Fgf18"
"366","Fgf2"
"367","Fgf20"
"368","Fgf21"
"369","Fgf22"
"370","Fgf23"
"371","Fgf3"
"372","Fgf4"
"373","Fgf5"
"374","Fgf6"
"375","Fgf7"
"376","Fgf8"
"377","Fgf9"
"378","Fgfr1"
"379","Fgfr2"
"380","Fgfr3"
"381","Fgfr4"
"382","Flt1"
"383","Flt3"
"384","Flt3l"
"385","Flt4"
"386","Fn1"
"387","Foxl1"
"388","Foxo4"
"389","Foxp3"
"390","Fpr.rs3"
"391","Fpr.rs4"
"392","Fpr.rs6"
"393","Fpr.rs7"
"394","Fpr1"
"395","Fpr2"
"396","Fpr3"
"397","Fshr"
"398","Fzd1"
"399","Fzd10"
"400","Fzd2"
"401","Fzd3"
"402","Fzd4"
"403","Fzd5"
"404","Fzd6"
"405","Fzd7"
"406","Fzd8"
"407","Fzd9"
"408","Gabbr1"
"409","Gabbr2"
"410","Gabra1"
"411","Gabra2"
"412","Gabra3"
"413","Gabra4"
"414","Gabra5"
"415","Gabra6"
"416","Gabrb1"
"417","Gabrb2"
"418","Gabrb3"
"419","Gabrd"
"420","Gabre"
"421","Gabrg1"
"422","Gabrg2"
"423","Gabrg3"
"424","Gabrp"
"425","Gabrq"
"426","Gabrr1"
"427","Gabrr2"
"428","Gabrr3"
"429","Gad1"
"430","Gad2"
"431","Galr1"
"432","Galr2"
"433","Galr3"
"434","Gap43"
"435","Gata2"
"436","Gata3"
"437","Gcgr"
"438","Gdf1"
"439","Gdf10"
"440","Gdf11"
"441","Gdf15"
"442","Gdf2"
"443","Gdf3"
"444","Gdf5"
"445","Gdf6"
"446","Gdf7"
"447","Gdf9"
"448","Gdnf"
"449","Gfap"
"450","Gfra2"
"451","Gfra3"
"452","Gh"
"453","Ghr"
"454","Ghrhr"
"455","Ghsr"
"456","Gipr"
"457","Gli1"
"458","Gli2"
"459","Gli3"
"460","Glp1r"
"461","Glp2r"
"462","Glra1"
"463","Glra2"
"464","Glra3"
"465","Glra4"
"466","Glrb"
"467","Gls"
"468","Gm10665"
"469","Gm10670"
"470","Gm14496"
"471","Gm20878"
"472","Gm725"
"473","Gnrhr"
"474","Gp2"
"475","Gpbar1"
"476","Gper1"
"477","Gpr1"
"478","Gpr101"
"479","Gpr107"
"480","Gpr108"
"481","Gpr119"
"482","Gpr12"
"483","Gpr132"
"484","Gpr135"
"485","Gpr137"
"486","Gpr137b"
"487","Gpr137c"
"488","Gpr139"
"489","Gpr141"
"490","Gpr142"
"491","Gpr143"
"492","Gpr146"
"493","Gpr149"
"494","Gpr15"
"495","Gpr150"
"496","Gpr151"
"497","Gpr152"
"498","Gpr153"
"499","Gpr156"
"500","Gpr157"
"501","Gpr158"
"502","Gpr160"
"503","Gpr161"
"504","Gpr162"
"505","Gpr17"
"506","Gpr171"
"507","Gpr173"
"508","Gpr174"
"509","Gpr176"
"510","Gpr179"
"511","Gpr18"
"512","Gpr180"
"513","Gpr182"
"514","Gpr183"
"515","Gpr19"
"516","Gpr20"
"517","Gpr21"
"518","Gpr22"
"519","Gpr26"
"520","Gpr27"
