"","x"
"1340","Olfr867"
"1341","Olfr873"
"1342","Olfr877"
"1343","Olfr887"
"1344","Olfr888"
"1345","Olfr889"
"1346","Olfr890"
"1347","Olfr893"
"1348","Olfr896.ps1"
"1349","Olfr898"
"1350","Olfr9"
"1351","Olfr90"
"1352","Olfr901"
"1353","Olfr904"
"1354","Olfr905"
"1355","Olfr906"
"1356","Olfr912"
"1357","Olfr914"
"1358","Olfr916"
"1359","Olfr918"
"1360","Olfr920"
"1361","Olfr921"
"1362","Olfr922"
"1363","Olfr93"
"1364","Olfr943"
"1365","Olfr948"
"1366","Olfr95"
"1367","Olfr954"
"1368","Olfr959"
"1369","Olfr961"
"1370","Olfr967"
"1371","Olfr975"
"1372","Olfr976"
"1373","Olfr979"
"1374","Olfr980"
"1375","Olfr981"
"1376","Olfr982"
"1377","Olfr983"
"1378","Olfr984"
"1379","Olfr986"
"1380","Olfr99"
"1381","Olfr998"
"1382","Olig2"
"1383","Olr1"
"1384","Onecut3"
"1385","Opn1mw"
"1386","Opn1sw"
"1387","Opn3"
"1388","Opn4"
"1389","Opn5"
"1390","Oprd1"
"1391","Oprk1"
"1392","Oprl1"
"1393","Oprm1"
"1394","Osm"
"1395","Osmr"
"1396","Otop2"
"1397","Oxgr1"
"1398","Oxtr"
"1399","P2rx1"
"1400","P2rx2"
"1401","P2rx3"
"1402","P2rx5"
"1403","P2rx6"
"1404","P2rx7"
"1405","P2ry1"
"1406","P2ry10"
"1407","P2ry10b"
"1408","P2ry12"
"1409","P2ry13"
"1410","P2ry14"
"1411","P2ry2"
"1412","P2ry4"
"1413","P2ry6"
"1414","Pax6"
"1415","Pdcd1"
"1416","Pdcd1lg2"
"1417","Pdgfa"
"1418","Pdgfb"
"1419","Pdgfc"
"1420","Pdgfd"
"1421","Pdgfra"
"1422","Pdgfrb"
"1423","Pecam1"
"1424","Peg3"
"1425","Penk"
"1426","Pf4"
"1427","Pgf"
"1428","Pgr"
"1429","Pgr15l"
"1430","Phox2b"
"1431","Piezo1"
"1432","Piezo2"
"1433","Pla2g2a"
"1434","Pla2r1"
"1435","Plp1"
"1436","Ppara"
"1437","Ppard"
"1438","Pparg"
"1439","Ppbp"
"1440","Prdm1"
"1441","Prdm16"
"1442","Prf1"
"1443","Prl"
"1444","Prl5a1"
"1445","Prl6a1"
"1446","Prlhr"
"1447","Prlr"
"1448","Prok1"
"1449","Prok2"
"1450","Prokr1"
"1451","Prokr2"
"1452","Ptafr"
"1453","Ptch1"
"1454","Ptch2"
"1455","Ptgdr"
"1456","Ptgdr2"
"1457","Ptger1"
"1458","Ptger2"
"1459","Ptger3"
"1460","Ptger4"
"1461","Ptgfr"
"1462","Ptgir"
"1463","Ptgs2"
"1464","Pth1r"
"1465","Pth2r"
"1466","Ptk7"
"1467","Ptpra"
"1468","Ptprb"
"1469","Ptprc"
"1470","Ptprd"
"1471","Ptpre"
"1472","Ptprf"
"1473","Ptprj"
"1474","Ptprk"
"1475","Ptprm"
"1476","Ptprn"
"1477","Ptprn2"
"1478","Ptpro"
"1479","Ptprq"
"1480","Ptprr"
"1481","Ptprs"
"1482","Ptprt"
"1483","Ptpru"
"1484","Ptprv"
"1485","Ptprz1"
"1486","Pzp"
"1487","Qrfpr"
"1488","Qrfprl"
"1489","Rac2"
"1490","Ramp2"
"1491","Ramp3"
"1492","Rara"
"1493","Rarb"
"1494","Rarg"
"1495","Rcor2"
"1496","Relt"
"1497","Ret"
"1498","Rgr"
"1499","Rgs4"
"1500","Rho"
"1501","Ror1"
"1502","Ror2"
"1503","Rora"
"1504","Rorb"
"1505","Rorc"
"1506","Ros1"
"1507","Rrh"
"1508","Rspo1"
"1509","Rspo2"
"1510","Rspo3"
"1511","Rspo4"
"1512","Rxfp1"
"1513","Rxfp2"
"1514","Rxfp3"
"1515","Rxfp4"
"1516","Rxra"
"1517","Rxrb"
"1518","Rxrg"
"1519","Ryk"
"1520","S100a4"
"1521","S100b"
"1522","S1pr1"
"1523","S1pr2"
"1524","S1pr3"
"1525","S1pr4"
"1526","S1pr5"
"1527","Scarb1"
"1528","Scn3a"
"1529","Scnn1a"
"1530","Scnn1b"
"1531","Scnn1g"
"1532","Sctr"
"1533","Sell"
"1534","Sfrp1"
"1535","Shh"
"1536","Sigirr"
"1537","Siglecf"
"1538","Sirpa"
"1539","Slc12a2"
"1540","Slc17a6"
"1541","Slc17a7"
"1542","Slc17a8"
"1543","Slc18a1"
"1544","Slc18a2"
"1545","Slc18a3"
"1546","Slc26a4"
"1547","Slc27a1"
"1548","Slc32a1"
"1549","Slc36a2"
"1550","Slc5a1"
"1551","Slc6a1"
"1552","Slc6a4"
"1553","Slc6a5"
"1554","Slc7a10"
"1555","Slc7a8"
"1556","Smarca1"
"1557","Smo"
"1558","Smtn"
"1559","Sox10"
"1560","Sox4"
"1561","Ssbp2"
"1562","Sstr1"
"1563","Sstr2"
"1564","Sstr3"
"1565","Sstr4"
"1566","Sstr5"
"1567","Stmn1"
"1568","Stx2"
"1569","Sucnr1"
"1570","Syt1"
"1571","Taar1"
"1572","Taar2"
"1573","Taar3"
"1574","Taar4"
"1575","Taar5"
"1576","Taar6"
"1577","Taar7a"
"1578","Taar7b"
"1579","Taar7d"
"1580","Taar7e"
"1581","Taar7f"
"1582","Taar8a"
"1583","Taar8b"
"1584","Taar8c"
"1585","Taar9"
"1586","Tacr1"
"1587","Tacr2"
"1588","Tacr3"
"1589","Tas1r1"
"1590","Tas1r2"
"1591","Tas1r3"
"1592","Tas2r102"
"1593","Tas2r103"
"1594","Tas2r104"
"1595","Tas2r105"
"1596","Tas2r106"
"1597","Tas2r107"
"1598","Tas2r108"
"1599","Tas2r109"
"1600","Tas2r110"
"1601","Tas2r113"
"1602","Tas2r114"
"1603","Tas2r115"
"1604","Tas2r116"
"1605","Tas2r117"
"1606","Tas2r118"
"1607","Tas2r119"
"1608","Tas2r120"
"1609","Tas2r121"
"1610","Tas2r122"
"1611","Tas2r123"
"1612","Tas2r124"
"1613","Tas2r125"
"1614","Tas2r126"
"1615","Tas2r129"
"1616","Tas2r130"
"1617","Tas2r131"
"1618","Tas2r134"
"1619","Tas2r135"
"1620","Tas2r136"
"1621","Tas2r137"
"1622","Tas2r138"
"1623","Tas2r139"
"1624","Tas2r140"
"1625","Tas2r141.ps4"
"1626","Tas2r143"
"1627","Tas2r144"
"1628","Tbx21"
"1629","Tbxa2r"
"1630","Tead1"
"1631","Tek"
"1632","Tgfb1"
"1633","Tgfb2"
"1634","Tgfb3"
"1635","Tgfbr1"
"1636","Tgfbr2"
"1637","Th"
"1638","Thpo"
"1639","Thra"
"1640","Thrb"
"1641","Thy1"
"1642","Tie1"
"1643","Tigit"
"1644","Tlr1"
"1645","Tlr11"
"1646","Tlr12"
"1647","Tlr13"
"1648","Tlr2"
"1649","Tlr3"
"1650","Tlr4"
"1651","Tlr5"
"1652","Tlr6"
"1653","Tlr7"
"1654","Tlr8"
"1655","Tlr9"
"1656","Tmem145"
"1657","Tnf"
"1658","Tnfrsf10b"
"1659","Tnfrsf11a"
"1660","Tnfrsf11b"
"1661","Tnfrsf12a"
"1662","Tnfrsf13b"
"1663","Tnfrsf13c"
"1664","Tnfrsf14"
"1665","Tnfrsf17"
"1666","Tnfrsf18"
"1667","Tnfrsf19"
"1668","Tnfrsf1b"
"1669","Tnfrsf21"
"1670","Tnfrsf22"
"1671","Tnfrsf23"
"1672","Tnfrsf25"
"1673","Tnfrsf26"
"1674","Tnfrsf4"
"1675","Tnfrsf8"
"1676","Tnfrsf9"
"1677","Tnfsf10"
"1678","Tnfsf11"
"1679","Tnfsf12"
"1680","Tnfsf13b"
"1681","Tnfsf14"
"1682","Tnfsf15"
"1683","Tnfsf18"
"1684","Tnfsf4"
"1685","Tnfsf8"
"1686","Tnfsf9"
"1687","Tph1"
"1688","Tpra1"
"1689","Tpsb2"
"1690","Trac"
"1691","Trdc"
"1692","Trgc1"
"1693","Trhr"
"1694","Trhr2"
"1695","Trim35"
"1696","Trpm5"
"1697","Tshr"
"1698","Tslp"
"1699","Tspan13"
"1700","Tubb3"
"1701","Txndc5"
"1702","Tymp"
"1703","Tyro3"
"1704","Uchl1"
"1705","Uts2r"
"1706","V1ra8"
"1707","V1rd19"
"1708","Vcan"
"1709","Vegfa"
"1710","Vegfb"
"1711","Vegfc"
"1712","Vegfd"
"1713","Vim"
"1714","Vipr2"
"1715","Vmn1r1"
"1716","Vmn1r12"
"1717","Vmn1r13"
"1718","Vmn1r139"
"1719","Vmn1r16"
"1720","Vmn1r168"
"1721","Vmn1r171"
"1722","Vmn1r173"
"1723","Vmn1r174"
"1724","Vmn1r175"
"1725","Vmn1r179"
"1726","Vmn1r18"
"1727","Vmn1r180"
"1728","Vmn1r181"
"1729","Vmn1r183"
"1730","Vmn1r184"
"1731","Vmn1r185"
"1732","Vmn1r188"
"1733","Vmn1r191"
"1734","Vmn1r193"
"1735","Vmn1r197"
"1736","Vmn1r198"
"1737","Vmn1r20"
"1738","Vmn1r200"
"1739","Vmn1r201"
"1740","Vmn1r202"
"1741","Vmn1r203"
"1742","Vmn1r206"
"1743","Vmn1r207"
"1744","Vmn1r209"
"1745","Vmn1r210"
"1746","Vmn1r213"
"1747","Vmn1r214"
"1748","Vmn1r215"
"1749","Vmn1r216"
"1750","Vmn1r217"
"1751","Vmn1r218"
"1752","Vmn1r219"
"1753","Vmn1r22"
"1754","Vmn1r220"
"1755","Vmn1r221"
"1756","Vmn1r223"
"1757","Vmn1r224"
"1758","Vmn1r226"
"1759","Vmn1r227"
"1760","Vmn1r228"
"1761","Vmn1r229"
"1762","Vmn1r230"
"1763","Vmn1r233"
"1764","Vmn1r234"
"1765","Vmn1r236"
"1766","Vmn1r24"
"1767","Vmn1r26"
"1768","Vmn1r28"
"1769","Vmn1r29"
"1770","Vmn1r32"
"1771","Vmn1r33"
"1772","Vmn1r34"
"1773","Vmn1r38"
"1774","Vmn1r39"
"1775","Vmn1r4"
"1776","Vmn1r43"
"1777","Vmn1r45"
"1778","Vmn1r46"
"1779","Vmn1r47"
"1780","Vmn1r49"
"1781","Vmn1r5"
"1782","Vmn1r50"
"1783","Vmn1r51"
"1784","Vmn1r55"
"1785","Vmn1r57"
"1786","Vmn1r58"
"1787","Vmn1r59"
"1788","Vmn1r6"
"1789","Vmn1r60"
"1790","Vmn1r61"
"1791","Vmn1r65"
"1792","Vmn1r66"
"1793","Vmn1r68"
"1794","Vmn1r70"
"1795","Vmn1r71"
"1796","Vmn1r72"
"1797","Vmn1r73"
"1798","Vmn1r74"
"1799","Vmn1r75"
"1800","Vmn1r76"
"1801","Vmn1r77"
"1802","Vmn1r78"
"1803","Vmn1r80"
"1804","Vmn1r81"
"1805","Vmn1r83"
"1806","Vmn1r84"
"1807","Vmn1r85"
"1808","Vmn1r86"
"1809","Vmn1r87"
"1810","Vmn1r88"
"1811","Vmn1r9"
"1812","Vmn1r90"
"1813","Vmn1r91"
"1814","Vmn2r1"
"1815","Vmn2r10"
"1816","Vmn2r100"
"1817","Vmn2r102"
"1818","Vmn2r105"
"1819","Vmn2r107"
"1820","Vmn2r108"
"1821","Vmn2r11"
"1822","Vmn2r110"
"1823","Vmn2r111"
"1824","Vmn2r112"
"1825","Vmn2r113"
"1826","Vmn2r114"
"1827","Vmn2r115"
"1828","Vmn2r116"
"1829","Vmn2r117"
"1830","Vmn2r118"
"1831","Vmn2r120"
"1832","Vmn2r124"
"1833","Vmn2r13"
"1834","Vmn2r14"
"1835","Vmn2r15"
"1836","Vmn2r16"
"1837","Vmn2r17"
"1838","Vmn2r18"
"1839","Vmn2r19"
"1840","Vmn2r20"
"1841","Vmn2r22"
"1842","Vmn2r23"
"1843","Vmn2r24"
"1844","Vmn2r25"
"1845","Vmn2r26"
"1846","Vmn2r27"
"1847","Vmn2r28"
"1848","Vmn2r29"
"1849","Vmn2r3"
"1850","Vmn2r30"
"1851","Vmn2r31"
"1852","Vmn2r32"
"1853","Vmn2r39"
"1854","Vmn2r4"
"1855","Vmn2r40"
"1856","Vmn2r42"
"1857","Vmn2r44"
"1858","Vmn2r45"
"1859","Vmn2r49"
"1860","Vmn2r51"
"1861","Vmn2r52"
"1862","Vmn2r53"
"1863","Vmn2r56"
"1864","Vmn2r57"
"1865","Vmn2r59"
"1866","Vmn2r6"
"1867","Vmn2r60"
"1868","Vmn2r63"
"1869","Vmn2r65"
"1870","Vmn2r66"
"1871","Vmn2r67"
"1872","Vmn2r68"
"1873","Vmn2r69"
"1874","Vmn2r7"
"1875","Vmn2r70"
"1876","Vmn2r73"
"1877","Vmn2r75"
"1878","Vmn2r76"
"1879","Vmn2r79"
"1880","Vmn2r8"
"1881","Vmn2r82"
"1882","Vmn2r83"
"1883","Vmn2r84"
"1884","Vmn2r85"
"1885","Vmn2r86"
"1886","Vmn2r88"
"1887","Vmn2r89"
"1888","Vmn2r9"
"1889","Vmn2r90"
"1890","Vmn2r92"
"1891","Vmn2r93"
"1892","Vmn2r94"
"1893","Vmn2r95"
"1894","Vmn2r96"
"1895","Vmn2r97"
"1896","Vmn2r99"
"1897","Vsig4"
"1898","Wnt1"
"1899","Wnt10a"
"1900","Wnt10b"
"1901","Wnt11"
"1902","Wnt16"
"1903","Wnt2"
"1904","Wnt2b"
"1905","Wnt3"
"1906","Wnt3a"
"1907","Wnt4"
"1908","Wnt5a"
"1909","Wnt5b"
"1910","Wnt6"
"1911","Wnt7a"
"1912","Wnt7b"
"1913","Wnt8a"
"1914","Wnt8b"
"1915","Wnt9a"
"1916","Wnt9b"
"1917","Xcl1"
"1918","Xcr1"
"1919","Xpr1"
"1920","Zbtb46"
"1921","Zcchc12"
