"","x","y"
"1",8361.0092631579,-1634.08452631579
"2",8292.09046666667,-1554.85698
"3",8366.93196428571,-1630.05610357143
"4",8280.761,-1537.65932567568
"5",8294.97054268293,-1546.48617195122
"6",8319.73363571429,-1572.53786
"7",8301.64493119266,-1545.50202018349
"8",8283.8130483871,-1527.28243870968
"9",8318.27599173554,-1548.93634710744
"10",8332.05388888889,-1571.58948333333
"11",8331.24518518519,-1571.23222962963
"12",8291.375171875,-1528.9707125
"13",8294.59176033058,-1526.43641818182
"14",8305.04386956522,-1540.97704782609
"15",8375.06992857143,-1611.20058142857
"16",8332.15790076336,-1566.59933053435
"17",8372.22465306122,-1608.06299795918
"18",8300.89570618557,-1527.86019072165
"19",8386.51931884058,-1603.81965652174
"20",8290.46359677419,-1519.07097419355
"21",8365.48406842105,-1588.28902210526
"22",8317.2557244898,-1534.97983877551
"23",8328.62522363636,-1545.20166945455
"24",8399.05080392157,-1615.08427647059
"25",8391.80056024096,-1598.21517590361
"26",8302.10139393939,-1513.67102727273
"27",8322.8015952381,-1541.48628864469
"28",8445.87528571429,-1657.51678571429
"29",8334.53272121212,-1534.73472060606
"30",8374.548546875,-1580.25412708333
"31",8379.32159090909,-1591.02190530303
"32",8316.04583333333,-1524.56252777778
"33",8338.20206597222,-1533.03207638889
"34",8375.7306097561,-1584.99101341463
"35",8375.32241836735,-1579.35089489796
"36",8326.15040789474,-1536.81434736842
"37",8320.85775757576,-1516.83706363636
"38",8311.96874657534,-1511.95405205479
"39",8394.21107777778,-1592.08388777778
"40",8376.24121568628,-1569.96338431373
"41",8408.61940566038,-1605.41521698113
"42",8382.95580241935,-1570.23700564516
"43",8386.9917032258,-1584.37273870968
"44",8321.53530882353,-1518.88964411765
"45",8327.01206280193,-1517.07099613527
"46",8317.97535454545,-1511.10813818182
"47",8344.51603205128,-1531.49986153846
"48",8321.82499565217,-1509.61418086957
"49",8386.95020072993,-1579.11513065693
"50",8408.1002890625,-1593.08608125
"51",8418.54453,-1610.737328
"52",8429.62928301887,-1612.47522830189
"53",8341.7336097561,-1530.9070402439
"54",8430.389625,-1608.48421875
"55",8393.13826241135,-1579.0163248227
"56",8396.61294270833,-1576.3705
"57",8344.84530291971,-1524.37674233577
"58",8401.90283974359,-1576.98458397436
"59",8348.61125,-1533.79172727273
"60",8352.15665734266,-1524.23015174825
"61",8427.99527960526,-1604.57251052632
"62",8378.72795833333,-1561.68884285714
"63",8406.78537012987,-1589.9867512987
"64",8423.29332352941,-1599.63956372549
"65",8446.70098275862,-1624.83909597701
"66",8437.55898113208,-1620.62344150943
"67",8432.35259022556,-1599.04046541353
"68",8327.39894859813,-1506.85329345794
"69",8446.04447305389,-1619.40001377245
"70",8350.51323134328,-1520.47159253731
"71",8288.30210702876,-1456.5213686901
"72",8341.23085,-1515.27226571429
"73",8390.91299572649,-1569.74899145299
"74",8418.47874166667,-1587.76189916667
"75",8346.92166,-1515.701796
"76",8422.63278947368,-1592.70552982456
"77",8389.76264705882,-1555.55875588235
"78",8352.3236235955,-1517.0769
"79",8357.26764173229,-1519.6787511811
"80",8335.97295135135,-1506.36084432432
"81",8424.04083018868,-1588.15112830189
"82",8391.3221025641,-1554.89877435897
"83",8350.57198360656,-1511.3469295082
"84",8391.96831707317,-1558.30844878049
"85",8415.16254545454,-1578.20912818182
"86",8444.55105,-1608.74846444444
"87",8354.33434507042,-1514.39507323944
"88",8400.64437333333,-1569.69302666667
"89",8360.2299,-1524.287092
"90",8346.1562629108,-1502.71128896714
"91",8452.10372222222,-1616.1756
"92",8432.00275925926,-1589.6581367284
"93",8280.53050641026,-1435.84679871795
"94",8359.41116081871,-1512.15010233918
"95",8408.37464772727,-1562.23092045455
"96",8426.82895945946,-1587.94680945946
"97",8425.84904794521,-1579.24530890411
"98",8409.88932682927,-1568.77770780488
"99",8286.51372839506,-1432.9148845679
"100",8455.8898125,-1616.76017916667
"101",8398.28858940397,-1547.56768410596
"102",8454.93596721311,-1609.8795442623
"103",8365.67214150943,-1511.45538867925
"104",8484.93640789473,-1638.94072368421
"105",8428.56559090909,-1572.72537272727
"106",8409.84565625,-1552.146878125
"107",8409.44995495495,-1554.99498108108
"108",8312.96330660377,-1449.54155283019
"109",8384.03518674699,-1521.7973686747
"110",8406.81992857143,-1549.56795285714
"111",8457.09678571429,-1605.57493571429
"112",8413.07903642384,-1561.35895695364
"113",8434.59041039427,-1581.77684086022
"114",8429.44062903226,-1574.29206129032
"115",8436.37510810811,-1585.1195
"116",8432.42032857143,-1575.00264571429
"117",8403.13104285714,-1545.95119142857
"118",8411.50464457831,-1547.62942168675
"119",8360.54310661765,-1496.78060588235
"120",8361.62605376344,-1501.98837849462
"121",8424.86997183099,-1565.95905821596
"122",8408.23001415094,-1543.9155
"123",8303.36021875,-1440.12588333333
"124",8438.18738461538,-1570.28338241758
"125",8403.95360784314,-1540.65134705882
"126",8452.97763714286,-1586.62675142857
"127",8294.48957692308,-1436.07130769231
"128",8450.13019892473,-1590.84576290323
"129",8431.329275,-1568.51662375
"130",8457.07834545455,-1599.82564909091
"131",8307.03470952381,-1442.48488952381
"132",8417.87791509434,-1547.9205509434
"133",8301.60160344827,-1436.9225862069
"134",8436.71290816327,-1568.84443061224
"135",8298.3565137931,-1429.24107241379
"136",8414.3360775,-1541.9393165
"137",8461.827296875,-1595.3947890625
"138",8353.1400882353,-1484.36618235294
"139",8435.1326039604,-1562.20015148515
"140",8355.51580487805,-1487.38424634146
"141",8348.32088235294,-1481.24363235294
"142",8370.62185245902,-1506.46391311475
"143",8364.88605405406,-1492.80786306306
"144",8360.63466871166,-1482.44469079755
"145",8410.26556428571,-1528.33100809524
"146",8456.77320204082,-1579.34486653061
"147",8419.39523863636,-1541.01022954545
"148",8302.01846644295,-1427.16976040268
"149",8465.85324,-1597.8665035
"150",8430.85487701613,-1556.37675403226
"151",8365.14031294964,-1487.40436043165
"152",8439.7735327381,-1559.80618571429
"153",8376.295109375,-1502.15866041667
"154",8325.55945098039,-1441.42603284314
"155",8466.14874008811,-1586.18717136564
"156",8372.03648863637,-1496.32948636364
"157",8298.97654545454,-1416.59430363636
"158",8423.26467625899,-1546.96022230216
"159",8512.74371052632,-1621.81937631579
"160",8437.12442537314,-1552.95080298507
"161",8460.176805,-1569.495871
"162",8469.83975598802,-1581.16581497006
"163",8484.93867699115,-1607.6539460177
"164",8318.71463571428,-1440.18292928571
"165",8396.69539130435,-1511.59089130435
"166",8314.7843828125,-1437.263184375
"167",8349.36145588235,-1454.04523529412
"168",8387.905125,-1496.97628571429
"169",8331.25923540856,-1440.52934202335
"170",8317.55031267606,-1426.4950543662
"171",8513.3965326087,-1615.92869347826
"172",8456.8423,-1574.75889047619
"173",8506.87485211267,-1618.20645492958
"174",8350.86103571428,-1459.94912619048
"175",8389.45785526316,-1498.59055263158
"176",8420.75513157895,-1527.62336842105
"177",8325.48830808081,-1434.18045252525
"178",8506.08953691275,-1612.25366912752
"179",8360.38993627451,-1459.52913627451
"180",8387.81749193548,-1491.3315983871
"181",8417.03920183486,-1521.24090275229
"182",8501.74751470588,-1608.31587205882
"183",8360.47595604395,-1464.74943516484
"184",8435.62440384616,-1547.42183076923
"185",8430.21429368932,-1530.52376796116
"186",8474.23119072165,-1572.25354364261
"187",8503.88441458333,-1601.53088041667
"188",8301.16329738562,-1404.63099411765
"189",8461.32171969697,-1555.56992878788
"190",8543.12783136095,-1642.62158106509
"191",8511.18635315985,-1604.99201003717
"192",8332.08109943977,-1420.5512535014
"193",8294.14324460432,-1390.3984323741
"194",8392.15925,-1494.06181666667
"195",8336.93885329341,-1435.18584491018
"196",8515.003706,-1611.0080216
"197",8332.00928571428,-1429.82321111111
"198",8503.73684615385,-1593.19773846154
"199",8539.20930785124,-1631.35671322314
"200",8425.94921491228,-1524.70399210526
"201",8519.97904017857,-1606.4034625
"202",8431.98125416667,-1520.98268333333
"203",8393.4449295302,-1476.63971610738
"204",8423.14841111111,-1520.21480888889
"205",8500.13757142857,-1596.95202619048
"206",8463.57348319328,-1547.58551512605
"207",8548.32693867924,-1629.12564811321
"208",8510.17744270833,-1596.4854484375
"209",8305.14368987342,-1388.05190126582
"210",8535.94656666667,-1625.64025916667
"211",8452.17375617284,-1545.42425925926
"212",8510.51196792453,-1587.89190943396
"213",8551.98347245763,-1637.85065932203
"214",8539.88747289156,-1621.90206084337
"215",8410.43704385965,-1494.82717017544
"216",8343.142915,-1427.059293
"217",8545.99969421488,-1633.28756363636
"218",8469.77056617647,-1550.82908235294
"219",8341.84456113537,-1420.58588427948
"220",8337.45296276596,-1419.48187234043
"221",8396.15496330275,-1470.14935412844
"222",8413.47152040816,-1489.51946122449
"223",8419.86786842105,-1502.91159210526
"224",8410.91511458333,-1484.43108958333
"225",8398.09222857143,-1484.09914285714
"226",8470.69079770993,-1546.11502137405
"227",8432.13060526316,-1513.36822631579
"228",8474.10964163822,-1555.86618293515
"229",8468.80801485149,-1542.94144356436
"230",8433.94975352113,-1505.79588732394
"231",8313.13953930131,-1387.07684104803
"232",8431.00755905512,-1501.2770503937
"233",8436.74225454546,-1505.27438181818
"234",8517.19449327354,-1585.40295201794
"235",8427.20765277778,-1494.53203888889
"236",8437.70839285714,-1496.70131734694
"237",8540.67063522013,-1597.59601949686
"238",8488.01847477745,-1548.94945519288
"239",8319.78838068182,-1385.86180681818
